H9,C,H9,3835,,,,,,,,,,3834.0155,,,,,,,,,
,,,,,,,,,,,,PK,6533.3301,,,,,,,,,
,,,,,,,,,,,,M,6547,,,,,,,,,
Ti I 6556,C,,,,,Ti I,6556,,,,,PK,6556.6821,,,,,,,,,
Halfa,A,Halfa,6562.82,,,Halfa,6562.82,,,Halfa,6562.82,PK,6563.1445,,,,,,,,,
,,,,,,,,,,,,,6573.6707,,,,,,,,,
,,,,,,,,,,,,M,6583,,,,,,,,,
,,,,,,,,,,,,,6594.2756,,,,,,,,,
,,,,,,,,,,,,,6608.4846,,,,,,,,,
V I/Fe I 6625,C,,,,,V I/Fe I,6624.86,,,,,TP,6625.8228,,,,,,,,,
,,,,,,,,,,,,TP,6633.314,,,,,,,,,
,,,,,,,,,,,,,6644.5554,,,,,,,,,
,,,,,,,,,,,,wide,6665.2463,,,,,,,,,
,,,,,,,,,,,,,6678.2604,,,,,,,,,
,,,,,,,,,,,,,6697.6581,,,,,,,,,
,,,,,,,,,,,,PK,6709.5449,,,,,,,,,
,,,,,,,,,,,,PK,6716.5444,,,,,,,,,
,,,,,,,,,,,,M,6726.5,,,,,,,,,
Ti I 6743,C,,,,,Ti I,6743,,,,,AVW,6742.7461,,,,,,,,,
V I/Fe I 6753,C,,,,,V I/Fe I,6753,,,,,AVW,6752.1338,,,,,,,,,
,,,,,,,,,,,,,6769.3097,,,,,,,,,
,,,,,,,,,,,,,6785.0495,,,,,,,,,
,,,,,,,,,,,,,6795.2638,,,,,,,,,
,,,,,,,,,,,,,6841.7378,,,,,,,,,
