Fe I 6231,C,,,,,Fe I,6230.736,,,,6230.7759,,,,,,,,
,,,,,,,,,,TP,6239.1885,,,,,,,,
Fe I 6246,C,,,,,Fe I,6246.3,,,TP,6246.1929,,,,,,,,
Fe I 6252-54,C,,,,,Fe I,6252-54,,,M,6254,,,,,,,,
,,,,,,,,,,,6279.5796,,,,,,,,
,,,,,,Fe I,6301.5,,,,6300.6733,,,,,,,,
Fe I 6318,C,,,,,Fe I,6318,,,,6318.0913,,,,,,,,
Fe I 6335-37,C,,,,,Fe I,6335-37,,,,6336.3851,,,,,,,,
,,,,,,,,,,,6346.3414,,,,,,,,
,,,,,,,,,,TP,6361.2764,,,,,,,,
,,,,,,,,,,TP,6370.5103,,,,,,,,
,,,,,,,,,,,6383.9462,,,,,,,,
Fe I 6394,C,,,,,Fe I,6393.6,,,TP,6393.4521,,,,,,,,
Fe I 6400,C,,,,,Fe I,6400,,,TP,6399.897,,,,,,,,
Fe I 6408-12,C,,,,,Fe I,6408-12,,,TP,6409.7944,,,,,,,,
,,,,,,,,,,TP,6417.9121,,,,,,,,
Fe I 6431,C,,,,,Fe I,6430.85,,,TP,6432.1138,,,,,,,,
Ca I 6439,C,,,,,Ca I,6439.08,,,TP,6438.9941,,,,,,,,
,,,,,,,,,,TP,6456.7773,,,,,,,,
Ca I/Fe I 6463,C,,,,,Ca I/Fe I,6462.5,,,TP,6462.5117,,,,,,,,
,,,,,,,,,,,6473.943,,,,,,,,
,,,,,,,,,,,6482.8859,,,,,,,,
Ca I/Fe I/Ba II 6494-97,C,,,,,Ca I/Fe I/Ba II,6494-97,,,,6495.0167,,,,,,,,
,,,,,,,,,,,6516.6776,,,,,,,,
,,,,,,,,,,M,6526.5,,,,,,,,
,,,,,,,,,,M,6534.5,,,,,,,,
Fe I/Ti I 6546,C,,,,,Fe I/Ti I,6546.25,,,MK,6547,,,,,,,,
H-alfa,A,Halfa,6562.82,,,Halfa,6562.808,Halfa,6562.82,,6562.639,,,,,,,,
,,,,,,,,,,TP,6587.4014,,,,,,,,
Fe I 6593-94,C,,,,,Fe I,6593-94,,,TP,6593.6216,,,,,,,,
,,,,,,,,,,,6605.8236,,,,,,,,
,,,,,,,,,,M,6612.5,,,,,,,,
Fe I 6634,C,,,,,Fe I,6634,,,,6634.039,,,,,,,,
Ni I 6644,C,,,,,Ni I,6643.6,,,,6644.5209,,,,,,,,
Fe I 6663,C,,,,,Fe I,6663.45,,,,6664.1427,,,,,,,,
Fe I 6678,C,,,,,Fe I,6677.997,,,,6678.6743,,,,,,,,
Ca I 6718,C,,,,,Ca I,6717.687,,,,6717.8809,,,,,,,,
